Movie Title,Release Date,Genre (1),Director (1),Cast (1),Budget ($),Box Office Revenue ($),Profit
Black Mass,04/09/2015,Action,Scott Cooper,Johnny Depp,53000000,99800000,46800000
Blackhat,08/01/2015,Action,Michael Mann,Chris Hemsworth,70000000,19700000,-50300000
Blended,23/05/2014,Comedy,Frank Coraci,Adam Sandler,40000000,128000000,88000000
Blue Jasmine,26/07/2013,Drama,Woody Allen,Alec Baldwin,18000000,97500000,79500000
Boyhood,19/01/2014,Drama,Richard Linklater,Ethan Hawke,4000000,44500000,40500000
Brick Mansions,23/04/2014,Action,Camille Delamarre,Paul Walker,23000000,69000000,46000000
Bridge of Spies,04/10/2015,Drama,Steven Spielberg,Tom Hanks,40000000,165500000,125500000
Brooklyn,26/01/2015,Drama,John Crowley,Saoirse Ronan,11000000,62100000,51100000
Bullet to the Head,01/02/2013,Crime,Walter Hill,Sylvester Stallone,55000000,21900000,-33100000
Burnt,06/10/2015,Comedy,John Wells,Bradley Cooper,20000000,36600000,16600000
By the Sea,05/11/2015,Drama,Angelina Jolie,Angelina Jolie,10000000,3300000,-6700000
Captain America: The Winter Soldier,13/03/2014,Action,Anthony Russo,Chris Evans,170000000,714400000,544400000
Captive,18/09/2015,Crime,Jerry Jameson,David Oyelowo,2000000,2800000,800000
Carol,17/05/2015,Drama,Todd Haynes,Cate Blanchett,11800000,40300000,28500000
Central Intelligence,10/06/2016,Action,Rawson Marshall Thurber,Dwayne Johnson,50000000,212200000,162200000
Cesar Chavez,12/02/2014,Drama,Diego Luna,Michael Peña,10000000,6700000,-3300000
Chappie,04/03/2015,Sci-Fi,Neill Blomkamp,Sharlto Copley,49000000,102100000,53100000
Chasing Mavericks,26/10/2012,Biography,Curtis Hanson,Gerard Butler,20000000,8300000,-11700000
Chef,07/03/2014,Comedy,Jon Favreau,Jon Favreau,11000000,46000000,35000000
Chernobyl Diaries,25/05/2012,Horror,Bradley Parker,Jonathan Sadowski,1000000,37200000,36200000
Child 44,17/04/2015,Drama,Daniel Espinosa,Tom Hardy,50000000,13000000,-37000000
Chronicle,03/02/2012,Sci-Fi,Josh Trank,Dane DeHaan,12000000,126600000,114600000
Cloud Atlas,26/10/2012,Drama,Tom Tykwer,Tom Hanks,128500000,130500000,2000000
Cloudy with a Chance of Meatballs 2,27/09/2013,Family,Cody Cameron,Anna Faris,78000000,274300000,196300000
Concussion,25/12/2015,Drama,Peter Landesman,Will Smith,57000000,50300000,-6700000
Creed,25/11/2015,Drama,Ryan Coogler,Michael B. Jordan,40000000,173600000,133600000
Criminal,15/04/2016,Action,Ariel Vromen,Kevin Costner,31500000,35600000,4100000
Crimson Peak,16/10/2015,Horror,Guillermo del Toro,Mia Wasikowska,55000000,74700000,19700000
Daddy's Home,25/12/2015,Comedy,Sean Anders,Will Ferrell,69000000,240400000,171400000
Danny Collins,20/03/2015,Comedy,Dan Fogelman,Al Pacino,10000000,8200000,-1800000
Dark Shadows,11/05/2012,Comedy,Tim Burton,Johnny Depp,150000000,245500000,95500000
Dark Skies,22/02/2013,Horror,Scott Charles Stewart,Keri Russell,3500000,26400000,22900000
Dawn of the Planet of the Apes,26/06/2014,Action,Matt Reeves,Andy Serkis,235000000,710600000,475600000
Dead Man Down,08/03/2013,Action,Niels Arden Oplev,Colin Farrell,30000000,18100000,-11900000
Deadpool,08/02/2016,Action,Tim Miller,Ryan Reynolds,58000000,782600000,724600000
Declaration of War,27/01/2012,Romance,Valérie Donzelli,Valérie Donzelli (director),1500000,6500000,5000000
Deliver Us from Evil,02/07/2014,Horror,Scott Derrickson,Eric Bana,30000000,87900000,57900000
Despicable Me 2,20/06/2013,Comedy,Chris Renaud,Steve Carell,76000000,970800000,894800000
Devil's Due,17/01/2014,Horror,Matt Bettinelli-Olpin,Allison Miller,7000000,36900000,29900000
Diary of a Wimpy Kid: Dog Days,03/08/2012,Comedy,David Bowers,Zachary Gordon,22000000,77100000,55100000
Divergent,18/03/2014,Sci-Fi,Neil Burger,Shailene Woodley,85000000,288900000,203900000
Django Unchained,25/12/2012,Action,Quentin Tarantino,Christoph Waltz,100000000,425400000,325400000
Dolphin Tale 2,12/09/2014,Family,Charles Martin Smith,Winter,36000000,57800000,21800000
Don't Breathe,26/08/2016,Thriller,Fede Alvarez,Dylan Minnette,9900000,28300000,18400000
Dr. Seuss' The Lorax,02/03/2012,Family,Chris Renaud,Danny DeVito,70000000,348800000,278800000
Dracula Untold,10/10/2014,Drama,Gary Shore,Luke Evans,70000000,217100000,147100000
Draft Day,07/04/2014,Drama,Ivan Reitman,Kevin Costner,25000000,29500000,4500000
Dragon Blade,18/02/2015,Action,Daniel Lee,Jackie Chan,65000000,120000000,55000000
Dumb and Dumber To,14/11/2014,Comedy,Peter Farrelly,Jim Carrey,50000000,169800000,119800000
Earth to Echo,14/06/2014,Sci-Fi,Dave Green,Astro,13000000,45300000,32300000
