Movie Title,Release Date,Genre (1),Director (1),Cast (1),Budget ($),Box Office Revenue ($),Profit
Mustang,19/05/2015,Drama,Deniz Gamze Ergüven,Güneş Şensoy,1300000,4900000,3600000
My All American,13/11/2015,Biography,Angelo Pizzo,Aaron Eckhart,20000000,2200000,-17800000
My Big Fat Greek Wedding 2,25/03/2016,Romance,Kirk Jones,Nia Vardalos,18000000,88900000,70900000
Need for Speed,12/03/2014,Action,Scott Waugh,Aaron Paul,65000000,203300000,138300000
Neighbors,08/03/2014,Comedy,Nicholas Stoller,Seth Rogen,18000000,270700000,252700000
Neighbors 2: Sorority Rising,20/05/2016,Comedy,Nicholas Stoller,Seth Rogen,35000000,107900000,72900000
Nerve,27/07/2016,Thriller,Henry Joost,Dave Franco,20000000,47600000,27600000
Night at the Museum: Secret of the Tomb,11/12/2014,Comedy,Shawn Levy,Ben Stiller,127000000,363200000,236200000
Nightcrawler,05/09/2014,Drama,Dan Gilroy,Jake Gyllenhaal,8500000,50300000,41800000
Nine Lives,05/08/2016,Comedy,Barry Sonnenfeld,Kevin Spacey,30000000,19100000,-10900000
No Escape,17/08/2015,Action,John Erick Dowdle,Owen Wilson,5000000,54400000,49400000
No Good Deed,12/09/2014,Crime,Sam Miller,Idris Elba,13200000,54300000,41100000
No One Lives,10/05/2013,Horror,Ryuhei Kitamura,Luke Evans,2900000,1000000,-1900000
Noah,10/03/2014,Adventure,Darren Aronofsky,Russell Crowe,125000000,362600000,237600000
Non-Stop,27/01/2014,Thriller,Jaume Collet-Serra,Liam Neeson,50000000,222800000,172800000
Now You See Me,31/05/2013,Crime,Louis Leterrier,Jesse Eisenberg,75000000,351700000,276700000
Now You See Me 2,06/06/2016,Thriller,Jon M. Chu,Mark Ruffalo,90000000,320900000,230900000
Oblivion,10/04/2013,Action,Joseph Kosinski,Tom Cruise,120000000,286200000,166200000
Olympus Has Fallen,22/03/2013,Action,Antoine Fuqua,Gerard Butler,70000000,161000000,91000000
One Direction: This Is Us,29/08/2013,Documentary,Morgan Spurlock,Harry Styles,10000000,68500000,58500000
One for the Money,27/01/2012,Crime,Julie Anne Robinson,Katherine Heigl,40000000,36900000,-3100000
Ouija,24/10/2014,Horror,Stiles White,Douglas Smith,5000000,103600000,98600000
Our Brand Is Crisis,11/09/2015,Comedy,David Gordon Green,Sandra Bullock,28000000,8600000,-19400000
Pacific Rim,12/07/2013,Action,Guillermo del Toro,Charlie Hunnam,190000000,411000000,221000000
Pain & Gain,26/04/2013,Action,Michael Bay,Mark Wahlberg,26000000,86200000,60200000
Pan,30/09/2015,Fantasy,Joe Wright,Hugh Jackman,150000000,128400000,-21600000
Paper Towns,24/07/2015,Romance,Jake Schreier,Nat Wolff,12000000,85500000,73500000
Paranormal Activity 4,19/10/2012,Thriller,Ariel Schulman,Kathryn Newton,5000000,142800000,137800000
Paranormal Activity: The Ghost Dimension,23/10/2015,Horror,Gregory Plotkin,Katie Featherston,10000000,78100000,68100000
ParaNorman,17/08/2012,Fantasy,Chris Butler,Kodi Smit-McPhee,60000000,107100000,47100000
Parental Guidance,25/12/2012,Comedy,Andy Fickman,Billy Crystal,25000000,119800000,94800000
Parker,25/01/2013,Crime,Taylor Hackford,Jason Statham,35000000,48500000,13500000
Paul Blart: Mall Cop 2,17/04/2015,Action,Andy Fickman,Kevin James,40000000,107600000,67600000
Pawn Sacrifice,11/09/2015,Biography,Ed Zwick,Tobey Maguire,19000000,5400000,-13600000
Penguins of Madagascar,14/11/2014,Family,Simon J. Smith,Tom McGrath,132000000,373000000,241000000
People Like Us,29/06/2012,Drama,Alex Kurtzman,Chris Pine,16000000,12400000,-3600000
Percy Jackson: Sea of Monsters,07/08/2013,Adventure,Thor Freudenthal,Logan Lerman,90000000,202200000,112200000
Pitch Perfect,05/10/2012,Comedy,Jason Moore,Anna Kendrick,17000000,115400000,98400000
Pitch Perfect 2,20/04/2015,Comedy,Elizabeth Banks,Anna Kendrick,29000000,287100000,258100000
Pixels,24/07/2015,Comedy,Chris Columbus,Adam Sandler,129000000,244900000,115900000
Point Break,25/12/2015,Action,Ericson Core,Edgar Ramirez,105000000,133700000,28700000
Polis Evo,17/09/2015,Action,Ghaz Abu Bakar,Shaheizy Sam,2400000,17300000,14900000
Poltergeist,22/05/2015,Horror,Gil Kenan,Sam Rockwell,35000000,95400000,60400000
Pompeii,18/02/2014,Action,Paul W. S. Anderson,Kit Harington,80000000,117800000,37800000
Popstar: Never Stop Never Stopping,03/06/2016,Comedy,Jorma Taccone,Jorma Taccone,20000000,9500000,-10500000
Premium Rush,24/08/2012,Action,David Koepp,Joseph Gordon-Levitt,35000000,31100000,-3900000
Pride and Prejudice and Zombies,05/02/2016,Comedy,Burr Steers,Lily James,28000000,16400000,-11600000
Prisoners,20/09/2013,Crime,Denis Villeneuve,Jake Gyllenhaal,46000000,122100000,76100000
Project Almanac,30/01/2015,Sci-Fi,Dean Israelite,Jonny Weston,12000000,33200000,21200000
Project X,02/03/2012,Comedy,Nima Nourizadeh,Miles Teller,12000000,102700000,90700000
Prometheus,08/06/2012,Sci-Fi,Ridley Scott,Noomi Rapace,130000000,403400000,273400000
Promised Land,28/12/2012,Drama,Gus Van Sant,Matt Damon,15000000,8100000,-6900000
R.I.P.D.,19/07/2013,Action,Robert Schwentke,Ryan Reynolds,130000000,78300000,-51700000
Race,19/02/2016,Drama,Stephen Hopkins,Stephan James,5000000,23500000,18500000
Raiders of the Lost Ark: The IMAX Experience,07/09/2012,Action,Steven Spielberg,Harrison Ford,18000000,389900000,371900000
Rams,15/05/2015,Drama,Grímur Hákonarson,Sigurður Sigurjónsson,1750000,1740000,-10000
Ratchet & Clank,29/04/2016,Sci-Fi,Jerrica Cleland,Paul Giamatti,20000000,12800000,-7200000
RED 2,19/07/2013,Action,Dean Parisot,Bruce Willis,84000000,148100000,64100000
Red Dawn,21/11/2012,Action,Dan Bradley,Will Yun Lee,65000000,48100000,-16900000
Red Tails,20/01/2012,Drama,Anthony Hemingway,Cuba Gooding Jr.,58000000,50400000,-7600000
Resident Evil: Retribution,14/09/2012,Action,Paul W. S. Anderson,Milla Jovovich,65000000,240200000,175200000
Ricki and the Flash,07/08/2015,Comedy,Jonathan Demme,Meryl Streep,18000000,41300000,23300000
Riddick,06/09/2013,Action,David Twohy,Vin Diesel,40000000,100300000,60300000
Ride Along,17/01/2014,Action,Tim Story,Ice Cube,25000000,154500000,129500000
Ride Along 2,15/01/2016,Comedy,Tim Story,Ice Cube,40000000,124200000,84200000
Rio 2,20/03/2014,Family,Carlos Saldanha,Jesse Eisenberg,103000000,500100000,397100000
Rise of the Guardians,21/11/2012,Adventure,Peter Ramsey,Chris Pine,145000000,306900000,161900000
Risen,19/02/2016,Drama,Kevin Reynolds,Joseph Fiennes,20000000,46100000,26100000
RoboCop,30/01/2014,Action,José Padilha,Joel Kinnaman,100000000,242700000,142700000
Robot & Frank,17/08/2012,Comedy,Jake Schreier,Frank Langella,2500000,4900000,2400000
Rock of Ages,15/06/2012,Musical,Adam Shankman,Julianne Hough,75000000,59400000,-15600000
Rock the Kasbah,22/10/2015,Comedy,Barry Levinson,Bill Murray,15000000,3400000,-11600000
Romeo and Juliet,26/07/2013,Drama,Carlo Carlei,Hailee Steinfeld,15000000,3000000,-12000000
Room,04/09/2015,Drama,Lenny Abrahamson,Brie Larson,13000000,36000000,23000000
Run All Night,13/03/2015,Action,Jaume Collet-Serra,Liam Neeson,61600000,71700000,10100000
"Runner, Runner",27/09/2013,Crime,Brad Furman,Ben Affleck,30000000,30000000,0
Rush,20/09/2013,Action,Ron Howard,Chris Hemsworth,38000000,90200000,52200000
Sabotage,19/03/2014,Action,David Ayer,Arnold Schwarzenegger,35000000,17500000,-17500000
Safe House,10/02/2012,Action,Daniel Espinosa,Denzel Washington,85000000,208100000,123100000
Salmon Fishing in the Yemen,09/03/2012,Drama,Lasse Hallström,Ewan McGregor,14400000,34600000,20200000
Savages,06/07/2012,Crime,Oliver Stone,Taylor Kitsch,45000000,83000000,38000000
Scary Movie 5,12/04/2013,Comedy,Malcolm D. Lee,Ashley Tisdale,20000000,78400000,58400000
Secret in Their Eyes,20/11/2015,Crime,Billy Ray,Julia Roberts,19500000,32200000,12700000
Self/less,10/07/2015,Drama,Tarsem Singh,Ryan Reynolds,26000000,30500000,4500000
Selma,25/12/2014,Drama,Ava DuVernay,David Oyelowo,20000000,66800000,46800000
Seventh Son,17/12/2014,Fantasy,Sergei Bodrov,Sergei Bodrov (director) Ben Barnes,95000000,114200000,19200000
Shaun the Sheep Movie,24/01/2015,Adventure,Mark Burton,Justin Fletcher,25000000,106000000,81000000
Sicario,19/05/2015,Crime,Denis Villeneuve,Emily Blunt,30000000,84900000,54900000
Side Effects,08/02/2013,Crime,Steven Soderbergh,Rooney Mara,30000000,66700000,36700000
Silent Hill: Revelation 3D,26/10/2012,Horror,Michael J. Bassett,Adelaide Clemens,20000000,52300000,32300000
Silver Linings Playbook,16/11/2012,Drama,David O. Russell,Bradley Cooper,21000000,236400000,215400000
Sin City: A Dame to Kill For,19/08/2014,Crime,Frank Miller,Jessica Alba,65000000,39400000,-25600000
Sinister,12/10/2012,Horror,Scott Derrickson,Ethan Hawke,3000000,77700000,74700000
Sinister 2,21/08/2015,Horror,Ciaran Foy,James Ransone,10000000,52900000,42900000
Sisters,18/12/2015,Comedy,Jason Moore,Amy Poehler,30000000,105000000,75000000
Snitch,22/02/2013,Action,Ric Roman Waugh,Dwayne Johnson,15000000,57800000,42800000
Snow White and the Huntsman,01/06/2012,Action,Rupert Sanders,Charlize Theron,170000000,396600000,226600000
Son of God,28/02/2014,Drama,Christopher Spencer,Diogo Morgado,22000000,67800000,45800000
Son of Saul,15/05/2015,Drama,László Nemes,Géza Röhrig,1500000,6200000,4700000
Southpaw,15/06/2015,Drama,Antoine Fuqua,Jake Gyllenhaal,30000000,92000000,62000000
Spotlight,03/09/2015,Drama,Tom McCarthy,Mark Ruffalo,20000000,88300000,68300000
Spy,15/05/2015,Action,Paul Feig,Melissa McCarthy,65000000,235700000,170700000
St. Vincent,05/09/2014,Comedy,Theodore Melfi,Bill Murray,13000000,54800000,41800000
Stand by Me Doraemon,08/08/2014,Animation,Takashi Yamazaki,Wasabi Mizuta,35000000,196400000,161400000
Star Trek Beyond,22/07/2016,Action,Justin Lin,Chris Pine,185000000,243000000,58000000
Step Up: All In,08/08/2014,Drama,Trish Sie,Ryan Guzman,45000000,86200000,41200000
Steve Jobs,05/09/2015,Biography,Danny Boyle,Michael Fassbender,30000000,34400000,4400000
Straight Outta Compton,11/08/2015,Biography,F. Gary Gray,O'Shea Jackson,50000000,201600000,151600000
Suffragette,04/09/2015,Drama,Sarah Gavron,Carey Mulligan,14000000,32000000,18000000
Suicide Squad,05/08/2016,Action,David Ayer,Will Smith,175000000,636700000,461700000
Taken 2,05/10/2012,Action,Olivier Megaton,Liam Neeson,43000000,376100000,333100000
Tammy,02/07/2014,Comedy,Ben Falcone,Melissa McCarthy,20000000,100500000,80500000
Ted,29/06/2012,Comedy,Seth MacFarlane,Mark Wahlberg,51000000,549400000,498400000
Ted 2,24/06/2015,Comedy,Seth MacFarlane,Alec Sulkin,68000000,216700000,148700000
Teenage Mutant Ninja Turtles,29/07/2014,Action,Jonathan Liebesman,Megan Fox,125000000,493300000,368300000
Teenage Mutant Ninja Turtles: Out of the Shadows,22/05/2016,Action,Dave Green,Megan Fox,135000000,242500000,107500000
Terminator Genisys,22/06/2015,Sci-Fi,Alan Taylor,Arnold Schwarzenegger,155000000,440600000,285600000
Texas Chainsaw 3D,04/01/2013,Horror,John Luessenhop,Alexandra Daddario,20000000,47200000,27200000
That Awkward Moment,27/01/2014,Comedy,Tom Gormican,Zac Efron,8000000,40500000,32500000
The 33,06/08/2015,Drama,Patricia Riggen,Antonio Banderas,26000000,24900000,-1100000
The 5th Wave,22/01/2016,Sci-Fi,J Blakeson,Chloë Grace Moretz,35000000,110700000,75700000
The Age of Adaline,24/04/2015,Romance,Lee Toland Krieger,Blake Lively,25000000,65700000,40700000
The Amazing Spider-Man,03/07/2012,Action,Marc Webb,Andrew Garfield,230000000,757900000,527900000
The Angry Birds Movie,05/05/2016,Comedy,Clay Kaytis,Jason Sudeikis,73000000,346900000,273900000
The Best Exotic Marigold Hotel ₪,04/05/2012,Comedy,John Madden,Judi Dench,10000000,136800000,126800000
The Big Short,11/12/2015,Biography,Adam McKay,Religious Bale,28000000,133300000,105300000
The Bling Ring,14/06/2013,Comedy,Sofia Coppola,Emma Watson,8000000,19100000,11100000
The Book of Life,12/10/2014,Family,Jorge R. Gutierrez,Christina Applegate,50000000,99800000,49800000
The Boss,08/04/2016,Comedy,Ben Falcone,Melissa McCarthy,29000000,78600000,49600000
The Bourne Legacy,10/08/2012,Action,Tony Gilroy,Jeremy Renner,125000000,276100000,151100000
The Boxtrolls,31/08/2014,Family,Anthony Stacchi,Ben Kingsley,60000000,109300000,49300000
The Boy,22/01/2016,Horror,William Brent Bell,Lauren Cohan,10000000,64200000,54200000
The Butler,16/08/2013,Drama,Lee Daniels,Forest Whitaker,30000000,176600000,146600000
The Cabin in the Woods,13/04/2012,Horror,Drew Goddard,Richard Jenkins,30000000,66500000,36500000
The Call,15/03/2013,Mystery,Brad Anderson,Abigail Breslin,13000000,68600000,55600000
The Campaign,10/08/2012,Comedy,Jay Roach,Will Ferrell,95000000,104900000,9900000
The Cold Light of Day,07/09/2012,Action,Mabrouk El Mechri,Henry Cavill,20000000,16900000,-3100000
The Collection,30/11/2012,Horror,Marcus Dunstan,Josh Stewart,10000000,8900000,-1100000
The Conjuring,19/07/2013,Thriller,James Wan,Patrick Wilson,20000000,318000000,298000000
The Conjuring 2,07/06/2016,Horror,James Wan,Patrick Wilson,40000000,319500000,279500000
The Croods,22/03/2013,Adventure,Chris Sanders,Nicolas Cage,135000000,587200000,452200000
The Danish Girl,05/09/2015,Drama,Tom Hooper,Eddie Redmayne,15000000,64200000,49200000
The Darkness,13/05/2016,Horror,Greg McLean,Kevin Bacon,4000000,10900000,6900000
The Devil Inside,06/01/2012,Horror,William Brent Bell,Suzan Crowley,1000000,101800000,100800000
The Dictator,16/05/2012,Comedy,Larry Charles,Sacha Baron Cohen,65000000,179400000,114400000
The Divergent Series: Allegiant,18/03/2016,Adventure,Robert Schwentke,Shailene Woodley,110000000,179200000,69200000
The Divergent Series: Insurgent,19/03/2015,Sci-Fi,Robert Schwentke,Shailene Woodley,110000000,297300000,187300000
The Drop,12/09/2014,Drama,Michaël R. Roskam,Tom Hardy,12600000,18700000,6100000
The Duff,12/02/2015,Comedy,Ari Sandel,Mae Whitman,8500000,43500000,35000000
The East,31/05/2013,Crime,Zal Batmanglij,Brit Marling,6500000,2400000,-4100000
The Equalizer,07/09/2014,Thriller,Antoine Fuqua,Denzel Washington,55000000,192300000,137300000
The Expendables 2,17/08/2012,Action,Simon West,Sylvester Stallone,100000000,305400000,205400000
The Expendables 3,04/08/2014,Action,Patrick Hughes,Sylvester Stallone,90000000,206200000,116200000
The Family,13/09/2013,Crime,Luc Besson,Robert De Niro,30000000,78400000,48400000
The Fault in Our Stars,16/05/2014,Drama,Josh Boone,Shailene Woodley,13000000,307200000,294200000
The Five-Year Engagement,27/04/2012,Comedy,Nicholas Stoller,Jason Segel,30000000,53900000,23900000
The Forest,08/01/2016,Horror,Jason Zada,Natalie Dormer,10000000,37600000,27600000
The Gift,30/07/2015,Thriller,Joel Edgerton,Jason Bateman,5000000,59000000,54000000
The Giver,11/08/2014,Sci-Fi,Phillip Noyce,Jeff Bridges,25000000,67000000,42000000
The Grand Budapest Hotel,06/02/2014,Comedy,Wes Anderson,Ralph Fiennes,23000000,174800000,151800000
The Great Gatsby,10/05/2013,Drama,Baz Luhrmann,Leonardo DiCaprio,105000000,351000000,246000000
The Grey,27/01/2012,Action,Joe Carnahan,Liam Neeson,25000000,77300000,52300000
The Gunman,20/03/2015,Thriller,Pierre Morel,Sean Penn,40000000,24200000,-15800000
The Hangover Part III,23/05/2013,Comedy,Todd Phillips,Bradley Cooper,103000000,362000000,259000000
The Hateful Eight,25/12/2015,Drama,Quentin Tarantino,Samuel L. Jackson,44000000,155800000,111800000
The Heat,28/06/2013,Action,Paul Feig,Sandra Bullock,43000000,229900000,186900000
The Hobbit: The Battle of the Five Armies,01/12/2014,Adventure,Peter Jackson,Ian McKellen,250000000,956000000,706000000
The Host,29/03/2013,Sci-Fi,Andrew Niccol,Saoirse Ronan,40000000,63300000,23300000
The Hundred-Foot Journey,08/08/2014,Drama,Lasse Hallström,Helen Mirren,22000000,88900000,66900000
